Open,High,Low,Close,Adj Close,Volume
2691.699951171875,2692.10009765625,2691.050048828125,2691.050048828125,2691.050048828125,13886
2690.60009765625,2692.14990234375,2689.10009765625,2691.10009765625,2691.10009765625,3156
2691.10009765625,2691.14990234375,2690.199951171875,2691.10009765625,2691.10009765625,2494
2691.050048828125,2693.949951171875,2691.050048828125,2693.300048828125,2693.300048828125,1809
2693.25,2693.550048828125,2691.64990234375,2691.85009765625,2691.85009765625,1928
2691.35009765625,2692.199951171875,2690.800048828125,2690.800048828125,2690.800048828125,1855
2690.800048828125,2691.60009765625,2690.25,2691.0,2691.0,1663
2691.0,2691.050048828125,2689.64990234375,2690.199951171875,2690.199951171875,1478
2690.199951171875,2692.75,2689.89990234375,2692.35009765625,2692.35009765625,1489
2692.35009765625,2692.39990234375,2691.25,2691.25,2691.25,1728
